id,10_연재확률,first_positive_10,second_rating_people_2,third_unreco_sum_5,label,positive_1,positive_2,positive_3,positive_4,positive_5,positive_6,positive_7,positive_8,positive_9,positive_10,rating_people_1,rating_people_2,rating_people_3,rating_people_4,rating_people_5,rating_people_6,rating_people_7,rating_people_8,rating_people_9,rating_people_10,unreco_sum_1,unreco_sum_2,unreco_sum_3,unreco_sum_4,unreco_sum_5,unreco_sum_6,unreco_sum_7,unreco_sum_8,unreco_sum_9,unreco_sum_10,댓글작성자수,독자,긍정1,긍정2,긍정3,부정1,부정2,부정3
630887,0.46190283707637614,9.0,1781.7799999999997,75,2,57.0,22.0,14.0,18.0,24.0,21.0,16.0,5.0,23.0,9.0,2721.3,1781.7799999999997,1566.54,1494.48,1542.3,1650.15,1455.45,915.68,1579.47,1265.46,186,15,147,49,75,52,164,14,111,24,266,(zz25****),다시,와,힘내세요,다시,리메이크,그냥
631166,0.5572031714704417,48.0,5969.099999999999,24,2,30.0,16.0,17.0,17.0,35.0,15.0,25.0,61.0,93.0,48.0,7767.62,5969.099999999999,6083.62,4806.8,5827.259999999999,5227.2,4532.22,4761.900000000001,3384.96,2661.2200000000003,50,15,30,22,24,61,17,44,21,5,153,(yusu****),눈,그림체,귀여워,트럼프,한,거
631226,0.5698320313938743,20.0,7209.81,30,2,26.0,31.0,24.0,16.0,33.0,40.0,23.0,31.0,43.0,20.0,6956.88,7209.81,7078.5,7051.570000000001,7136.009999999999,7254.45,6760.08,6803.4,7444.299999999999,7251.920000000001,32,17,48,40,30,31,27,28,45,29,101,(znsl****),귀여워요,귀엽고,만화,뭔가,있는데,와
631444,0.4240962547738638,6.0,2697.98,1,2,10.0,18.0,14.0,12.0,5.0,4.0,2.0,7.0,2.0,6.0,1656.48,2697.98,2185.4,1873.3999999999999,1493.28,1213.75,1041.98,1201.7,1293.6000000000001,1232.5,8,19,20,3,1,19,7,1,0,2,76,(zzam****),좋은,웹툰이,꼭,있는데,광해군은,선견지명이
631489,0.5043847361185901,14.0,3204.5,4,2,40.0,13.0,11.0,16.0,15.0,25.0,17.0,18.0,16.0,14.0,4104.76,3204.5,3052.28,2815.8,2663.1,2612.8999999999996,2583.3199999999997,2321.8,1703.4599999999998,1690.76,9,6,5,8,4,2,5,4,34,16,117,(zozf****),노바,유령이,드디어,와,입으로,잠시만
632053,0.5041411274946997,18.0,3698.86,19,2,14.0,8.0,13.0,13.0,20.0,10.0,6.0,11.0,8.0,18.0,4179.06,3698.86,3524.3999999999996,3831.6499999999996,3752.85,3412.05,3329.5600000000004,3421.94,3118.02,3646.88,25,21,4,7,19,14,7,9,12,6,68,(yunm****),재밌어요,넘,웃겨요,생각했는데,조회수는,2000이
632138,0.5322804756640578,9.0,3185.02,9,2,13.0,14.0,9.0,12.0,11.0,16.0,16.0,6.0,7.0,9.0,3354.54,3185.02,3198.0,3417.95,3385.41,2546.4599999999996,3151.38,2903.63,2103.62,3164.8,3,7,7,2,9,6,1,2,1,6,46,(zjem****),로지,완전,겁나,None,None,None
632213,0.49132667496957166,56.0,17582.25,167,2,16.0,33.0,36.0,31.0,22.0,34.0,22.0,49.0,45.0,56.0,16291.380000000001,17582.25,15429.19,15513.75,15142.44,15515.64,13694.76,14337.400000000001,13024.2,13416.2,104,157,328,454,167,207,83,196,131,286,274,(zsa6****),왜,내가,이건,왜,아니라,뭔가
632277,0.4807716181109599,12.0,835.71,39,2,32.0,11.0,11.0,11.0,15.0,8.0,9.0,10.0,9.0,12.0,1136.4,835.71,755.73,752.7,638.9399999999999,594.09,552.74,573.0,514.25,622.7,98,47,40,36,39,42,21,17,20,24,76,(zcbm****),레드군,재밋어요,와,뭔가,오늘,처음보는데
632306,0.42064894417768506,3.0,3692.7000000000003,1,2,10.0,5.0,10.0,17.0,6.0,10.0,8.0,12.0,5.0,3.0,4053.19,3692.7000000000003,3762.0,3791.7000000000003,3573.9,3560.4,3346.2000000000003,3607.2400000000002,3451.61,3326.4,3,6,4,2,1,4,5,8,1,1,47,(zdlw****),귀여워요,이뻐요,아기,소독도,조리원에서,배꼽탯줄
632406,0.5361507266135743,15.0,1587.3,26,2,16.0,20.0,14.0,8.0,17.0,13.0,22.0,31.0,12.0,15.0,1672.6499999999999,1587.3,1457.68,1397.22,1516.6200000000001,1540.62,2757.6400000000003,1724.8000000000002,1199.1100000000001,674.1,20,21,13,10,26,32,27,4,18,26,100,(zmg1****),네이버,정식,레이첼,이게,뭐야,에바
632888,0.566737821808713,27.0,11404.800000000001,39,2,109.0,115.0,54.0,39.0,40.0,20.0,31.0,60.0,53.0,27.0,11804.519999999999,11404.800000000001,10108.2,8732.87,9137.7,8713.09,8652.6,9582.97,8949.6,6405.629999999999,96,30,36,79,39,16,28,44,36,73,412,(zptn****),캐나다,재밌어요,완전,한국인,아니라,캐나다에
632969,0.5843054610243308,14.0,1430.32,13,2,6.0,5.0,5.0,8.0,15.0,10.0,8.0,10.0,12.0,14.0,1681.13,1430.32,1422.42,1462.68,1167.54,1089.0500000000002,957.0,1005.68,1012.96,1626.6299999999999,114,21,35,25,13,22,16,17,28,73,91,(zpdl****),the,최강의,마지막,미국판,봤는데,제목센스
633460,0.43935357528495994,5.0,1816.13,25,2,15.0,6.0,6.0,6.0,4.0,8.0,6.0,6.0,5.0,5.0,2136.07,1816.13,1584.83,1488.36,1407.44,1363.47,1424.4299999999998,1205.0,1083.36,1022.7,64,16,38,24,25,22,15,5,35,16,61,(zzii****),그림,멋져요,재밌어요,음,코드기어스랑,비슷하네요
633596,0.6039329344106452,97.0,19323.780000000002,610,2,63.0,46.0,68.0,103.0,67.0,131.0,141.0,152.0,201.0,97.0,21507.18,19323.780000000002,19050.8,19878.39,19168.32,24241.68,18205.56,18485.44,18953.920000000002,18161.46,420,338,512,391,610,578,568,583,1422,819,590,(zpdl****),빨리,공주,완전,왜,공주,아니라
633971,0.43674235551311574,8.0,4521.8,7,2,10.0,21.0,23.0,15.0,16.0,7.0,14.0,15.0,21.0,8.0,4365.45,4521.8,4475.64,4046.7,3803.8,3412.05,3415.5,3651.8999999999996,3462.08,3333.12,8,8,16,13,7,5,17,20,25,10,105,(zarl****),선비,재밌다,왜,여자였는데,많이찾아다녔는데,있다니드뎌찾았다
635161,0.5975758855711594,62.0,9771.300000000001,48,2,39.0,23.0,29.0,29.0,63.0,30.0,38.0,68.0,68.0,62.0,10579.779999999999,9771.300000000001,9613.08,9721.87,13077.9,10117.12,11337.35,10365.300000000001,10117.800000000001,10176.810000000001,86,19,66,38,48,33,23,70,59,57,227,(zmfl****),대박,와,완전,낡은,태령이가,뭔가
635401,0.5477989608388094,9.0,8345.7,12,2,29.0,11.0,10.0,12.0,8.0,8.0,5.0,7.0,9.0,9.0,9433.92,8345.7,7440.0,7283.85,6491.05,6246.900000000001,5938.139999999999,5563.8,5753.6,4895.0,48,39,55,23,12,40,12,14,12,34,106,(zndn****),좋아요,벌써,다시,생각이,나네요,그렇게
