id,label,5_연재확률,10_연재확률,first_positive_5,second_view_1,third_rating_people_5,positive_1,positive_2,positive_3,positive_4,positive_5,view_1,view_2,view_3,view_4,view_5,rating_people_1,rating_people_2,rating_people_3,rating_people_4,rating_people_5,댓글작성자수,독자,긍정1,긍정2,긍정3,부정1,부정2,부정3,genre,title
686255,2,0.6956723683381513,,24.0,93302,2512.29,74.0,33.0,28.0,17.0,24.0,93302,50992,36579,30580,27225,4274.9,3770.88,2327.86,2156.02,2512.29,132,(zmzm****),그림체,좋아요,화이팅,뭔가,헐이렇게,이렇게,omnibus,새벽에 듣는 만화
686259,2,0.747418172458381,,72.0,759395,17610.07,83.0,107.0,84.0,84.0,72.0,759395,573231,456023,412220,410770,18783.3,18552.6,16985.74,18527.85,17610.07,444,(zzz1****),넘,빨리,왜,뭐야,왜,영희,story,예쁘니까 괜찮아
686444,2,0.7155453361382398,,73.0,212334,11282.96,257.0,137.0,76.0,119.0,73.0,212334,184190,199261,192777,164468,13819.55,13320.86,11751.05,13565.240000000002,11282.96,776,(zzzz****),그림체가,그림체,빨리,조금,노답,으르렁,story,겨울에 웃는 꽃
686451,2,0.5725568544727141,0.473550747372516,21.0,220600,10446.94,85.0,22.0,14.0,13.0,21.0,220600,178204,164729,160785,164597,14094.36,11842.45,10612.8,10238.55,10446.94,187,(zzog****),재밌게,항상,넘,유튜브보고,찾아봤는데,진짜로,episode,치와와의 오후
686552,2,0.7120745203665676,,46.0,257117,23605.62,65.0,68.0,37.0,39.0,46.0,257117,213244,185310,173882,183341,18813.5,16723.99,14331.75,14830.2,23605.62,267,(zxcv****),베도,역시,김스님,뭔가,동생이,별반,episode,오늘도 형제는 평화롭다
686651,2,0.5910173948877456,0.4773758048436299,33.0,185218,8950.45,76.0,39.0,28.0,32.0,33.0,185218,137124,110755,93050,85135,14874.91,12407.32,10564.06,10247.36,8950.45,223,(yukj****),고양이,귀여워,마지막에,너때문에,흥이,깨져버렸으니,episode,치즈범벅
686682,2,0.5282357160270302,,22.0,125352,3952.000000000001,47.0,24.0,21.0,20.0,22.0,125352,93950,85078,80823,80472,5027.400000000001,4166.55,3955.68,5941.74,3952.000000000001,202,(zxe1****),철수,다음화가,재밌어요,태극기,철수가,그림체,story,이계리턴즈
686861,2,0.6234813463567696,0.5493271423970006,12.0,97174,6045.1,22.0,8.0,15.0,11.0,12.0,97174,85480,81509,83440,80405,6134.29,5846.9,5985.64,5876.63,6045.1,74,(zuzu****),정주행,귀여워,좋아요,뭐야,뭔가,내취향을,story,저승길잡이
686952,2,0.6591666890182826,0.479254833591195,12.0,288918,3537.8,14.0,17.0,14.0,18.0,12.0,288918,166670,129187,118744,112756,5479.47,3947.64,3667.92,3750.6,3537.8,110,(zkdi****),와,재밌네요,좋습니다,캐릭터만,몇,뭔가,story,검의계승자
686955,2,0.6821724667112756,0.5600986362752836,32.0,144588,11178.24,70.0,41.0,21.0,30.0,32.0,144588,104141,90824,80315,76079,9281.76,9447.35,8330.0,6347.070000000001,11178.24,266,(zxzx****),와,대박,왜,왜,꼭,뭐냐,story,후크
687651,2,0.6708917174498685,0.4625175237800774,12.0,126105,3220.3100000000004,13.0,9.0,5.0,7.0,12.0,126105,98729,72659,70449,69195,3125.94,3165.06,2949.21,3101.28,3220.3100000000004,52,(zhen****),그림체가,그림체,뭔가,니는,맞춤법부터배우지,작가님그림에,story,지나치게 달콤한
